| epoch   5 |  2400/ 9234 batches | lr 0.0010 | ms/batch 17.14 | loss  3.98 | ppl    53.74
| epoch   5 |  2600/ 9234 batches | lr 0.0010 | ms/batch 17.76 | loss  4.02 | ppl    55.64
| epoch   5 |  2800/ 9234 batches | lr 0.0010 | ms/batch 17.74 | loss  4.01 | ppl    55.35
| epoch   5 |  3000/ 9234 batches | lr 0.0010 | ms/batch 17.73 | loss  4.00 | ppl    54.51
| epoch   5 |  3200/ 9234 batches | lr 0.0010 | ms/batch 16.61 | loss  3.99 | ppl    54.09
| epoch   5 |  3400/ 9234 batches | lr 0.0010 | ms/batch 17.02 | loss  4.00 | ppl    54.52
| epoch   5 |  3600/ 9234 batches | lr 0.0010 | ms/batch 17.04 | loss  4.00 | ppl    54.67
| epoch   5 |  3800/ 9234 batches | lr 0.0010 | ms/batch 17.95 | loss  4.01 | ppl    55.31
| epoch   5 |  4000/ 9234 batches | lr 0.0010 | ms/batch 18.14 | loss  4.02 | ppl    55.81
| epoch   5 |  4200/ 9234 batches | lr 0.0010 | ms/batch 17.53 | loss  3.98 | ppl    53.53
| epoch   5 |  4400/ 9234 batches | lr 0.0010 | ms/batch 17.16 | loss  3.99 | ppl    54.28
| epoch   5 |  4600/ 9234 batches | lr 0.0010 | ms/batch 18.29 | loss  4.01 | ppl    55.33
| epoch   5 |  4800/ 9234 batches | lr 0.0010 | ms/batch 17.28 | loss  3.99 | ppl    54.09
| epoch   5 |  5000/ 9234 batches | lr 0.0010 | ms/batch 17.07 | loss  4.00 | ppl    54.87
| epoch   5 |  5200/ 9234 batches | lr 0.0010 | ms/batch 17.47 | loss  3.99 | ppl    54.22
| epoch   5 |  5400/ 9234 batches | lr 0.0010 | ms/batch 17.00 | loss  3.99 | ppl    54.27
| epoch   5 |  5600/ 9234 batches | lr 0.0010 | ms/batch 17.84 | loss  4.02 | ppl    55.71
| epoch   5 |  5800/ 9234 batches | lr 0.0010 | ms/batch 17.71 | loss  3.99 | ppl    53.97
| epoch   5 |  6000/ 9234 batches | lr 0.0010 | ms/batch 16.93 | loss  4.00 | ppl    54.49
| epoch   5 |  6200/ 9234 batches | lr 0.0010 | ms/batch 18.02 | loss  4.00 | ppl    54.65
| epoch   5 |  6400/ 9234 batches | lr 0.0010 | ms/batch 17.41 | loss  4.00 | ppl    54.35
| epoch   5 |  6600/ 9234 batches | lr 0.0010 | ms/batch 18.08 | loss  4.01 | ppl    55.27
| epoch   5 |  6800/ 9234 batches | lr 0.0010 | ms/batch 17.19 | loss  4.00 | ppl    54.78
| epoch   5 |  7000/ 9234 batches | lr 0.0010 | ms/batch 18.27 | loss  4.02 | ppl    55.92
| epoch   5 |  7200/ 9234 batches | lr 0.0010 | ms/batch 17.77 | loss  4.00 | ppl    54.35
| epoch   5 |  7400/ 9234 batches | lr 0.0010 | ms/batch 17.08 | loss  3.98 | ppl    53.63
| epoch   5 |  7600/ 9234 batches | lr 0.0010 | ms/batch 17.24 | loss  4.00 | ppl    54.56
| epoch   5 |  7800/ 9234 batches | lr 0.0010 | ms/batch 17.59 | loss  4.01 | ppl    55.26
| epoch   5 |  8000/ 9234 batches | lr 0.0010 | ms/batch 16.96 | loss  4.00 | ppl    54.74
| epoch   5 |  8200/ 9234 batches | lr 0.0010 | ms/batch 17.16 | loss  4.00 | ppl    54.51
| epoch   5 |  8400/ 9234 batches | lr 0.0010 | ms/batch 18.02 | loss  3.99 | ppl    54.00
| epoch   5 |  8600/ 9234 batches | lr 0.0010 | ms/batch 17.99 | loss  4.00 | ppl    54.33
| epoch   5 |  8800/ 9234 batches | lr 0.0010 | ms/batch 17.84 | loss  4.03 | ppl    56.45
| epoch   5 |  9000/ 9234 batches | lr 0.0010 | ms/batch 18.52 | loss  4.01 | ppl    55.28
| epoch   5 |  9200/ 9234 batches | lr 0.0010 | ms/batch 17.08 | loss  4.00 | ppl    54.37
------------
| end of epoch   5 | time: 172.85s | valid loss  3.97 | valid ppl    53.20
------------
| epoch   6 |   200/ 9234 batches | lr 0.0010 | ms/batch 17.85 | loss  4.00 | ppl    54.77
| epoch   6 |   400/ 9234 batches | lr 0.0010 | ms/batch 17.32 | loss  3.97 | ppl    53.16
| epoch   6 |   600/ 9234 batches | lr 0.0010 | ms/batch 16.91 | loss  3.96 | ppl    52.44
| epoch   6 |   800/ 9234 batches | lr 0.0010 | ms/batch 16.69 | loss  3.98 | ppl    53.51
| epoch   6 |  1000/ 9234 batches | lr 0.0010 | ms/batch 18.13 | loss  3.98 | ppl    53.26
| epoch   6 |  1200/ 9234 batches | lr 0.0010 | ms/batch 16.88 | loss  3.96 | ppl    52.69
| epoch   6 |  1400/ 9234 batches | lr 0.0010 | ms/batch 16.99 | loss  3.99 | ppl    54.06
| epoch   6 |  1600/ 9234 batches | lr 0.0010 | ms/batch 17.51 | loss  3.98 | ppl    53.47
| epoch   6 |  1800/ 9234 batches | lr 0.0010 | ms/batch 17.23 | loss  3.97 | ppl    52.73
| epoch   6 |  2000/ 9234 batches | lr 0.0010 | ms/batch 17.65 | loss  3.96 | ppl    52.22
| epoch   6 |  2200/ 9234 batches | lr 0.0010 | ms/batch 16.98 | loss  3.97 | ppl    52.73
| epoch   6 |  2400/ 9234 batches | lr 0.0010 | ms/batch 17.50 | loss  3.98 | ppl    53.61
| epoch   6 |  2600/ 9234 batches | lr 0.0010 | ms/batch 17.92 | loss  4.00 | ppl    54.41
| epoch   6 |  2800/ 9234 batches | lr 0.0010 | ms/batch 17.40 | loss  4.00 | ppl    54.83
| epoch   6 |  3000/ 9234 batches | lr 0.0010 | ms/batch 18.12 | loss  3.98 | ppl    53.40
| epoch   6 |  3200/ 9234 batches | lr 0.0010 | ms/batch 17.13 | loss  3.97 | ppl    53.14
